x,y,z,__prediction
-2.5813835,-0.37342358,-2.8625536,185651.81159324397
-4.263082,1.8282099,-17.282812,123431.85490295611
-3.092902,0.583333,-3.7006493,178889.01543378917
4.931758,0.6103773,6.807026,243301.99599841982
2.6723857,1.5965166,-0.77648664,188746.02588848
2.6849675,1.6396103,-0.73047495,187260.50745391368
2.0983024,2.8508234,11.681986,205491.25115454043
2.4050808,2.4958925,11.552637,192748.2782541188
6.596332,6.115163,6.4732447,269717.02185972716
9.572445,-1.1577082,6.2287455,210218.22107714118
3.2694478,1.5666142,-0.78890276,177145.554350323
5.096624,4.087373,-0.1719091,169747.04199520385
3.67521,2.5233192,-0.5116551,166174.40648586716
5.477246,-3.2842398,5.2708845,183943.0617203278
6.624618,6.972069,6.7617893,221421.99952558495
4.4787393,3.5076923,7.765442,449185.29307604017
2.992682,2.840332,10.467211,216682.0418601057
4.7992554,5.3316383,7.173814,356181.78181029065
-13.047085,-4.8258257,6.631811,105621.76125879961
-0.92364454,0.22311306,0.1948123,232151.66276756566
-2.8287065,1.0258341,-2.176978,196165.81427137938
6.372329,-2.2604575,7.9714746,165067.93542111383
2.182022,-5.5743427,12.520742,192735.1935906931
-2.5478456,1.2728405,-5.2841806,144690.5112456728
-4.0230727,0.98454475,-15.138189,152827.1285350551
-5.0764046,1.1657934,-16.539803,134959.24016737292
-15.547651,-1.6482339,5.652446,115885.71787113872
-15.418474,-8.140061,9.543765,90464.5261140218
5.5382304,-3.2720127,5.217044,215246.7574207064
8.205877,-0.8386545,-11.177137,119244.20782747385
2.581818,-8.3230715,-17.91372,114788.71777353206
8.2122,-0.83302784,-11.187868,119244.20782747385
-3.0098493,1.0540619,-5.6431856,143689.3172109779
-2.6321125,-0.39172077,-4.062973,154089.6134162586
6.298137,-2.2612967,8.073491,131763.4198322717
-2.6234746,-0.42984104,-3.9894087,154206.92654346026
4.473285,4.4899645,7.891656,373804.0978161782
6.064523,5.3803997,6.156852,307332.1248442792
4.7330565,5.218647,7.294463,387775.51267816173
7.2043023,7.036257,7.705083,237064.61127158272
5.275352,-1.5555539,4.6560707,253866.90114787527
5.0800796,5.6389885,6.82242,316122.0850725771
6.1136518,5.3567505,6.1761017,311708.0442500707
4.7456107,-1.9495015,5.861018,207721.37471033284
4.1843114,5.1236305,7.808853,494198.61956786807
5.416451,-3.324473,5.331952,193613.84096666955
4.129054,5.1631584,7.862438,488375.2813232923
3.9469686,2.9733763,7.9585543,301633.03531968244
5.104528,5.6523323,6.790386,314326.4793260459
2.3478503,2.4072065,11.684276,209532.4035808518
11.243858,-1.4120579,6.342066,187918.05535193963
-4.1056633,2.8263369,-2.2497344,172114.9805317971
8.367125,-5.872905,5.8829145,165137.8769185794
2.4461536,2.573288,11.449499,195616.50250030833
11.01227,-2.9821353,5.471858,188355.87612450175
-0.6071253,0.05007744,0.21817064,215095.80193702006
10.053856,-1.2800155,6.194833,199835.7789588183
11.143406,-2.862125,5.401518,174854.55840664712
6.0733323,0.8906574,7.6413918,231904.71854529245
4.076472,2.9450455,7.7724533,337283.07773674733
4.6614985,3.6958075,8.030872,377475.71917760407
4.8425303,-1.6018424,5.771867,236640.93064539466
4.692957,3.4374151,8.073418,332638.4782207803
3.774516,3.0927105,8.16676,275528.5985437361
9.457743,-0.97637844,6.2968283,189089.6499899036
4.885257,3.3364868,7.3777924,384149.2757246351
7.2078414,7.0402184,7.709687,238146.11632449806
7.9578843,-6.012536,6.810051,171432.09923005183
2.1504364,-5.606434,12.552923,188405.7642409463
6.591187,6.9917917,6.7435045,249197.0374995047
