,Rule
0,Lot Frontage <= 144.5 & Overall Qual > 7.5 & PID > 528406528.0
1,Overall Qual > 7.5 & Full Bath > 2.5
2,Overall Qual > 6.5 & Total Bsmt SF > 1453.5 & Gr Liv Area <= 1808.5
3,Gr Liv Area > 2311.5
4,Total Bsmt SF > 1216.0 & Gr Liv Area <= 1642.5
5,Overall Qual > 7.5
6,Gr Liv Area > 1482.5 & Bsmt Qual > 0.5
7,Overall Qual > 6.5 & Total Bsmt SF <= 1383.5
8,Year Built <= 1976.5 & Overall Qual <= 4.5 & Bsmt Qual > 0.5
9,Garage Cars > 1.5 & Kitchen Qual > 3.0 & Garage Cars <= 2.5
10,Overall Qual > 6.5 & Garage Cars <= 2.5 & Total Bsmt SF > 1491.5
11,Gr Liv Area > 1970.0
12,Total Bsmt SF <= 1392.5
13,Gr Liv Area > 1930.0 & Screen Porch > 204.0
14,Total Bsmt SF <= 1837.0 & Overall Qual > 6.5
15,Garage Cars > 1.5 & Kitchen Qual <= 3.0 & Gr Liv Area > 1385.5 & BsmtFin SF 1 > 796.0 & Garage Cars <= 2.5
16,Gr Liv Area > 1383.0 & Garage Cars <= 2.5 & BsmtFin SF 1 <= 597.5
17,Year Built <= 1976.5 & Lot Area > 10859.0 & Overall Qual > 4.5 & Bsmt Qual > 0.5
18,Overall Qual <= 6.5 & Overall Qual <= 8.5 & Overall Qual > 4.5
19,Garage Cars <= 2.5 & Gr Liv Area <= 1219.0
20,Overall Qual > 6.5
21,Overall Qual > 6.5 & Bsmt Qual <= 1.0 & 1st Flr SF <= 2059.0
22,Gr Liv Area <= 3908.0 & Mas Vnr Area > 689.5 & Bsmt Qual <= 0.5
23,Overall Qual > 6.5 & Bsmt Qual <= 0.5 & 2nd Flr SF <= 1700.0
24,BsmtFin SF 1 > 1921.0 & Lot Frontage <= 144.5 & Overall Qual > 7.5 & PID <= 528406528.0
25,Year Built > 1985.5 & BsmtFin SF 1 > 941.0 & PID > 528315072.0
26,Overall Qual > 6.5 & Gr Liv Area <= 2115.5
27,Year Built > 1976.5 & Gr Liv Area <= 1949.5 & Total Bsmt SF > 1415.0
28,Order <= 476.5 & Lot Area > 13704.5 & Garage Cars > 2.5 & Mas Vnr Area > 392.5
29,Overall Qual > 6.5 & Gr Liv Area <= 1940.0 & 1st Flr SF <= 1573.0
30,Gr Liv Area <= 1801.0 & 1st Flr SF > 1378.0 & Overall Qual > 7.5 & 1st Flr SF <= 1969.0
31,BsmtFin SF 1 > 1149.5 & Overall Qual > 7.5
32,Total Bsmt SF <= 1195.0 & Gr Liv Area <= 1778.0
33,Garage Cars <= 2.5
34,Full Bath > 1.5 & Overall Qual <= 7.5
35,1st Flr SF > 1465.5
36,Garage Cars <= 2.5 & Gr Liv Area > 1642.5
37,Gr Liv Area <= 1642.0 & Year Built > 1982.5
38,Overall Qual <= 6.5 & Gr Liv Area <= 1147.0
39,Overall Qual <= 6.5 & Full Bath <= 1.5 & Overall Qual > 4.5
40,1st Flr SF <= 906.0 & Overall Qual <= 6.5 & Gr Liv Area <= 1361.0
41,Gr Liv Area > 2093.5 & Year Built > 1978.5
42,Overall Qual > 7.5 & Gr Liv Area <= 2821.5
43,Overall Qual > 6.5 & Total Bsmt SF > 1723.5 & Gr Liv Area <= 2045.0
44,Kitchen Qual <= 1.0 & Gr Liv Area > 1867.5
45,Year Built > 1976.5 & Gr Liv Area <= 1810.0
46,Lot Area > 15375.0 & Overall Qual > 7.5
47,Overall Qual > 6.5 & Gr Liv Area <= 1920.0
48,Overall Qual > 7.5 & Total Bsmt SF <= 1764.5
49,Total Bsmt SF <= 1656.5 & Gr Liv Area > 1951.0
50,Total Bsmt SF > 1217.0 & Gr Liv Area <= 1658.0
51,Order <= 476.5 & Lot Area <= 13704.5 & Garage Cars > 2.5 & Mas Vnr Area > 392.5
52,Gr Liv Area <= 1482.5
53,Central Air <= 0.5 & Overall Qual <= 7.5 & Gr Liv Area <= 1245.5
54,Central Air > 0.5 & Total Bsmt SF <= 1259.0 & 2nd Flr SF <= 706.0
55,Kitchen Qual <= 2.5
56,Overall Qual > 6.5 & Garage Cars <= 2.5
57,Overall Qual <= 7.5 & Overall Qual > 5.5
58,Garage Type <= 3.5 & Overall Qual <= 7.5
59,Total Bsmt SF <= 1491.5 & Overall Qual > 6.5 & Garage Cars <= 2.5
60,Gr Liv Area > 1930.0 & Total Bsmt SF > 1166.5 & Screen Porch <= 204.0
61,Overall Qual > 6.5 & Total Bsmt SF > 1453.5 & Gr Liv Area > 1808.5
62,Total Bsmt SF <= 1621.0 & Gr Liv Area > 1312.0 & Gr Liv Area > 2327.0 & Year Remod/Add > 1983.5
63,Total Bsmt SF <= 933.5 & Gr Liv Area <= 1387.5 & Bsmt Qual > 0.5
