,distance,from,to
0,1.2585554615585061e-05,2482,624
1,1.5288823758128154e-05,2203,624
2,1.5288823758128154e-05,8360,2482
3,1.562352464450842e-05,5933,8360
4,1.9307535241716488e-05,1665,2203
5,2.76627525937151e-05,10105,8360
6,0.0005968052802064183,1052,3896
7,0.0006066706797699719,3808,1052
8,0.0006711482578228529,6278,1052
9,0.0006920214975706895,3919,3808
10,0.0006987524273219473,6205,3896
11,0.0006987524273219473,3343,3896
12,0.0007657679637588516,5107,3343
13,0.0008002993997809564,10266,3808
14,0.0009039836538969331,3662,10266
15,0.0011616173041320373,6492,9998
16,0.0011616173041320373,9825,6492
17,0.0011616173041320373,9998,10302
18,0.0011898061754433058,7120,9998
19,0.001260580152837736,4553,9825
20,0.0013459471056169671,5908,9825
21,0.0014441130439106639,6517,9825
22,0.0014441130439106639,5803,10056
23,0.0014441130439106639,5803,4553
24,0.0014496706792943488,10072,10302
25,0.0014836561940547817,2095,2307
26,0.0014836561940547817,2307,6111
27,0.0014836561940547817,6111,5803
28,0.001501723665515975,7564,10056
29,0.0015131432300866882,980,578
30,0.0015807712769361965,323,6111
31,0.0016972526161908622,6267,3919
32,0.0017276936161930458,3722,4947
33,0.0018419957733077244,2355,10072
34,0.0018490183957648918,2097,980
35,0.0019177305673648702,8981,2097
36,0.0019201277952347496,6359,1995
37,0.001987834144652072,3272,578
38,0.002029609402347464,9958,6359
39,0.0020420519427377867,6742,2355
40,0.002066833376880822,10394,3722
41,0.0021512225527671016,7605,9958
42,0.002157736192874196,9615,5119
43,0.0021853477783681198,7890,5119
44,0.0022011580548573374,2182,1995
45,0.002213534430873174,2311,980
46,0.002245882767184637,10147,4918
47,0.002252783279517251,6106,3272
48,0.00226370957980344,4011,5119
49,0.0022651573912023156,6228,4918
50,0.0023162258327606225,9823,9763
51,0.0023420527757401772,4377,8981
52,0.0023715318572902554,7495,1995
53,0.0023715318572902554,5750,2182
54,0.0024007626273270825,1742,2307
55,0.002414344784793354,809,9615
56,0.0024665316370704824,5613,4377
57,0.00247704306649925,6923,7890
58,0.0025093724778031336,5024,809
59,0.0025093724778031336,10139,809
60,0.0025125838080362274,3880,10394
61,0.0025125838080362274,834,4947
62,0.002518156942205213,7036,5024
63,0.0025980039241815705,6925,5613
64,0.002614455230994837,3737,4918
65,0.0026292542334219533,9272,9823
66,0.0026292542334219533,5848,9763
67,0.0026796672221500867,3916,4918
68,0.0026796672221500867,3771,6228
69,0.002684713169556152,7028,10139
70,0.00269896445892315,4736,7036
71,0.0027732975381001405,4882,7890
72,0.0028026341579662855,3714,834
73,0.002804182798841893,5825,2743
74,0.002806657032208895,9285,1009
75,0.0028085074312333624,3089,3534
76,0.0028500974584122337,638,7879
77,0.0028595570146525843,2356,9763
78,0.0028895737308273282,6708,7525
79,0.002934014682690259,9997,9763
80,0.00295658022517174,6953,5119
81,0.002998875896482352,2070,7525
82,0.0030604073763020024,3223,6063
83,0.0030726542896362522,7872,3880
84,0.0030934106399814003,129,1763
85,0.003131874876673043,3943,9285
86,0.0031332787884911645,9542,5848
87,0.0031332787884911645,6105,9823
88,0.003137123160724393,6872,4011
89,0.003148353799249805,3764,1009
90,0.003148353799249805,3764,7872
91,0.0031525872977772296,3962,3089
92,0.003153092910744547,9298,638
93,0.003163946309969477,8321,9285
94,0.0031912624545139,8809,7028
95,0.003206197240615047,3352,3534
96,0.003211554935297668,3462,8066
97,0.0032344336494273167,3721,3764
98,0.0032628287345055217,4027,3462
99,0.003271560247717431,5973,5825
100,0.0032782013281774636,7433,7605
101,0.0033045304970499723,900,3268
102,0.0033045304970499723,3929,3268
103,0.003309763502997698,3363,2743
104,0.0033600097144011556,8938,2070
105,0.0033838091691158617,767,3268
106,0.003390084633250699,9279,6063
107,0.0034713003653670106,3929,3714
108,0.0035005083134229302,772,900
109,0.0035005083134229302,3504,767
110,0.0035182653479813157,10111,5825
111,0.003532603184659407,8727,10111
112,0.0035355604859228893,584,2743
113,0.0035550238962702247,6244,3962
114,0.0035550238962702247,6244,6205
115,0.003558924243001138,5009,9279
116,0.0035644764386068336,3806,2356
117,0.0035664027226131197,9792,8938
118,0.0035904998313524587,967,3714
119,0.0036011168067748922,566,6708
120,0.0036557424102916314,9739,3363
121,0.003672826131476866,9163,9739
122,0.0037033354898586344,9384,7879
123,0.0037306783620985906,7225,129
124,0.003771571046163538,3934,8321
125,0.003771571046163538,8126,3934
126,0.0037829145597088024,7803,4027
127,0.0037829145597088024,10178,3462
128,0.003795616261316646,1761,3806
129,0.003795616261316646,7669,2356
130,0.0038442504047989747,1825,3806
131,0.0038747506982149517,613,584
132,0.003919024813714882,4946,3089
133,0.003957020709916603,8815,10165
134,0.003971943733557147,3899,2893
135,0.003976509398709749,8083,3223
136,0.004017277781973315,9314,638
