,parent,left_child,right_child,distance,size
0,10459,2482.0,624.0,1.2585554615585061e-05,2.0
1,10460,2203.0,10459.0,1.5288823758128154e-05,3.0
2,10461,8360.0,10460.0,1.5288823758128154e-05,4.0
3,10462,5933.0,10461.0,1.562352464450842e-05,5.0
4,10463,1665.0,10462.0,1.9307535241716488e-05,6.0
5,10464,10105.0,10463.0,2.76627525937151e-05,7.0
6,10465,1052.0,3896.0,0.0005968052802064183,2.0
7,10466,3808.0,10465.0,0.0006066706797699719,3.0
8,10467,6278.0,10466.0,0.0006711482578228529,4.0
9,10468,3919.0,10467.0,0.0006920214975706895,5.0
10,10469,6205.0,10468.0,0.0006987524273219473,6.0
11,10470,3343.0,10469.0,0.0006987524273219473,7.0
12,10471,5107.0,10470.0,0.0007657679637588516,8.0
13,10472,10266.0,10471.0,0.0008002993997809564,9.0
14,10473,3662.0,10472.0,0.0009039836538969331,10.0
15,10474,6492.0,9998.0,0.0011616173041320373,2.0
16,10475,9825.0,10474.0,0.0011616173041320373,3.0
17,10476,10475.0,10302.0,0.0011616173041320373,4.0
18,10477,7120.0,10476.0,0.0011898061754433058,5.0
19,10478,4553.0,10477.0,0.001260580152837736,6.0
20,10479,5908.0,10478.0,0.0013459471056169671,7.0
21,10480,6517.0,10479.0,0.0014441130439106639,8.0
22,10481,5803.0,10056.0,0.0014441130439106639,2.0
23,10482,10481.0,10480.0,0.0014441130439106639,10.0
24,10483,10072.0,10482.0,0.0014496706792943488,11.0
25,10484,2095.0,2307.0,0.0014836561940547817,2.0
26,10485,10484.0,6111.0,0.0014836561940547817,3.0
27,10486,10485.0,10483.0,0.0014836561940547817,14.0
28,10487,7564.0,10486.0,0.001501723665515975,15.0
29,10488,980.0,578.0,0.0015131432300866882,2.0
30,10489,323.0,10487.0,0.0015807712769361965,16.0
31,10490,6267.0,10473.0,0.0016972526161908622,11.0
32,10491,3722.0,4947.0,0.0017276936161930458,2.0
33,10492,2355.0,10489.0,0.0018419957733077244,17.0
34,10493,2097.0,10488.0,0.0018490183957648918,3.0
35,10494,8981.0,10493.0,0.0019177305673648702,4.0
36,10495,6359.0,1995.0,0.0019201277952347496,2.0
37,10496,3272.0,10494.0,0.001987834144652072,5.0
38,10497,9958.0,10495.0,0.002029609402347464,3.0
39,10498,6742.0,10492.0,0.0020420519427377867,18.0
40,10499,10394.0,10491.0,0.002066833376880822,3.0
41,10500,7605.0,10497.0,0.0021512225527671016,4.0
42,10501,9615.0,5119.0,0.002157736192874196,2.0
43,10502,7890.0,10501.0,0.0021853477783681198,3.0
44,10503,2182.0,10500.0,0.0022011580548573374,5.0
45,10504,2311.0,10496.0,0.002213534430873174,6.0
46,10505,10147.0,4918.0,0.002245882767184637,2.0
47,10506,6106.0,10504.0,0.002252783279517251,7.0
48,10507,4011.0,10502.0,0.00226370957980344,4.0
49,10508,6228.0,10505.0,0.0022651573912023156,3.0
50,10509,9823.0,9763.0,0.0023162258327606225,2.0
51,10510,4377.0,10506.0,0.0023420527757401772,8.0
52,10511,7495.0,10503.0,0.0023715318572902554,6.0
53,10512,5750.0,10511.0,0.0023715318572902554,7.0
54,10513,1742.0,10498.0,0.0024007626273270825,19.0
55,10514,809.0,10507.0,0.002414344784793354,5.0
56,10515,5613.0,10510.0,0.0024665316370704824,9.0
57,10516,6923.0,10514.0,0.00247704306649925,6.0
58,10517,5024.0,10516.0,0.0025093724778031336,7.0
59,10518,10139.0,10517.0,0.0025093724778031336,8.0
60,10519,3880.0,10499.0,0.0025125838080362274,4.0
61,10520,834.0,10519.0,0.0025125838080362274,5.0
62,10521,7036.0,10518.0,0.002518156942205213,9.0
63,10522,6925.0,10515.0,0.0025980039241815705,10.0
64,10523,3737.0,10508.0,0.002614455230994837,4.0
65,10524,9272.0,10509.0,0.0026292542334219533,3.0
66,10525,5848.0,10524.0,0.0026292542334219533,4.0
67,10526,3916.0,10523.0,0.0026796672221500867,5.0
68,10527,3771.0,10526.0,0.0026796672221500867,6.0
69,10528,7028.0,10521.0,0.002684713169556152,10.0
70,10529,4736.0,10528.0,0.00269896445892315,11.0
71,10530,4882.0,10529.0,0.0027732975381001405,12.0
72,10531,3714.0,10520.0,0.0028026341579662855,6.0
73,10532,5825.0,2743.0,0.002804182798841893,2.0
74,10533,9285.0,1009.0,0.002806657032208895,2.0
