,Rule
0,Garage Cars > 2.5 & Gr Liv Area > 2240.0 & Lot Area <= 26330.0 & Overall Qual > 6.5 & Bsmt Half Bath <= 0.5
1,Overall Qual <= 6.5 & Overall Qual > 4.5
2,Total Bsmt SF <= 1226.5
3,Overall Qual <= 6.5
4,Overall Qual <= 6.5 & Gr Liv Area <= 2668.5 & Gr Liv Area <= 1232.5
5,Gr Liv Area > 1232.5 & Overall Qual <= 6.5 & Gr Liv Area <= 2668.5
6,Garage Cars > 2.5 & 1st Flr SF > 2397.0
7,Fireplaces > 0.5
8,Overall Qual > 7.5 & Lot Frontage <= 81.5 & 2nd Flr SF > 1086.0 & Lot Area <= 11770.0
9,Gr Liv Area > 1949.5
10,Overall Qual <= 7.5 & Garage Type <= 3.5
11,BsmtFin SF 1 <= 1089.0
12,Garage Cars <= 2.5
13,Gr Liv Area <= 1795.0 & Total Bsmt SF > 1307.0 & Overall Qual > 6.5 & Overall Qual <= 8.5
14,Gr Liv Area > 2045.0 & Overall Qual > 6.5
15,Gr Liv Area > 1717.5 & Kitchen Qual > 0.5
16,Overall Qual <= 7.5 & Gr Liv Area > 1219.0
17,BsmtFin SF 1 <= 3084.0 & Overall Qual > 8.5
18,Gr Liv Area <= 1289.5 & Overall Qual <= 7.5
19,Overall Qual > 7.5 & Gr Liv Area > 2173.5 & 1st Flr SF > 1875.0
20,Year Built <= 1985.5
21,Gr Liv Area > 2029.0
22,Gr Liv Area > 2231.5
23,Gr Liv Area <= 1969.5 & Overall Qual > 6.5
24,Gr Liv Area > 1778.0 & Kitchen Qual <= 1.0 & Gr Liv Area > 3038.5
25,Gr Liv Area > 1354.0 & Overall Qual <= 7.5
26,Total Bsmt SF > 1599.0
27,Kitchen Qual <= 1.0 & Gr Liv Area > 1867.5
28,1st Flr SF <= 1286.5 & Overall Qual <= 4.5
29,Garage Cars <= 1.5 & Bsmt Qual > 0.5
30,Total Bsmt SF <= 1392.5 & Gr Liv Area <= 1946.5
31,Gr Liv Area > 1922.0 & Bsmt Qual > 0.5
32,Year Built > 1985.5
33,Overall Qual > 7.5 & Overall Qual > 8.5
34,Gr Liv Area > 2223.0 & Total Bsmt SF > 1397.0
35,Gr Liv Area > 2311.5 & 2nd Flr SF > 1827.0
36,Gr Liv Area > 1807.0 & Lot Frontage > 144.5
37,Overall Qual > 5.5 & Gr Liv Area > 1289.5 & Overall Qual <= 7.5
38,Overall Qual > 6.5 & Total Bsmt SF <= 1383.5
39,1st Flr SF <= 1286.5 & Overall Qual > 4.5
40,Overall Qual > 7.5 & Overall Qual <= 9.5 & Lot Area > 11770.0 & Gr Liv Area <= 1647.0
41,Garage Cars <= 2.5 & Year Built <= 1976.5
42,1st Flr SF <= 2307.0 & Overall Qual > 8.5
43,BsmtFin SF 1 <= 955.0 & Garage Type <= 3.5
44,Overall Qual > 6.5 & 1st Flr SF > 1619.0
45,Garage Cars > 2.5 & Order > 476.5 & Mas Vnr Area > 392.5
46,Gr Liv Area <= 1781.0
47,Gr Liv Area <= 1961.5 & Year Built > 1980.5
48,Gr Liv Area <= 1524.0
49,Garage Cars > 2.5 & Gr Liv Area > 2240.0 & Lot Area > 26330.0 & Overall Qual > 6.5 & Bsmt Half Bath <= 0.5
50,Gr Liv Area <= 2029.0
51,Gr Liv Area > 1245.5 & Overall Qual <= 7.5
52,Year Built <= 1985.0 & Gr Liv Area <= 2303.0
53,Year Built > 1983.5 & 1st Flr SF <= 1465.5 & Gr Liv Area <= 1743.0
54,Overall Qual > 5.5 & Gr Liv Area <= 1958.5 & Overall Qual <= 7.5 & Year Built <= 1980.5
55,Overall Qual > 7.5 & Gr Liv Area <= 2821.5 & BsmtFin SF 1 <= 1314.0
56,Gr Liv Area <= 1872.0 & Overall Qual > 6.5
57,Year Built > 1983.0 & Gr Liv Area <= 1973.0
58,Total Bsmt SF <= 1198.5 & Gr Liv Area > 1492.0
59,Overall Qual > 7.5 & Kitchen Qual > 1.0
60,Gr Liv Area > 2138.0 & Total Bsmt SF > 2273.5
